time (UTC), time (unix millis), index (BTC), index (USD)
2018-10-17 00:00:08,1539734408951,0.0458622793735197556,302.659954743288665
2018-10-16 00:00:08,1539648008520,0.0456293179025097084,302.486836105338739
2018-10-15 00:00:20,1539561620165,0.0452316816895198745,283.863774381069106
2018-10-14 00:00:05,1539475205832,0.0456948913242650814,286.097754858121277
2018-10-13 00:00:30,1539388830109,0.0455323599344049507,284.324312322035723
2018-10-12 00:00:02,1539302402267,0.0448864087952053695,278.52788479224165
2018-10-11 00:00:50,1539216050090,0.0470342081928319181,309.426767490674933
2018-10-10 00:00:33,1539129633576,0.0471547950991113851,312.697592740737321
2018-10-09 00:00:21,1539043221848,0.0473622364443956473,314.983500718182142
2018-10-08 00:00:55,1538956855357,0.0471442259678047579,311.438056839135982
2018-10-07 00:00:57,1538870457381,0.0470195444846956689,309.903936916849773
2018-10-06 00:00:05,1538784005500,0.0474490248811569454,314.723213663479441
2018-10-05 00:00:16,1538697616847,0.0473812046367289921,311.801493352922478
2018-10-04 00:00:41,1538611241933,0.0474822621821233345,308.426731875443977
2018-10-03 00:00:02,1538524802160,0.0476480731722556602,311.004214883361612
2018-10-02 00:00:34,1538438434439,0.0481916853160952383,317.82561041020756
2018-10-01 00:00:31,1538352031027,0.0482192171215217041,319.391557216508147
2018-09-30 00:00:43,1538265643519,0.0481618549288588063,317.909180107157681
2018-09-29 00:00:35,1538179235605,0.0475524556591241654,315.403074748499193
2018-09-28 00:00:02,1538092802037,0.0478683262998147868,320.053852522980662
2018-09-27 00:00:09,1538006409075,0.0471928192908977612,304.993977087670771
2018-09-26 00:00:37,1537920037382,0.0473447582277385093,304.752053893383163
2018-09-25 00:00:27,1537833627542,0.0470104369257621918,309.423165949736017
2018-09-24 00:00:09,1537747209051,0.0483454583423067602,324.046553994729777
2018-09-23 00:00:21,1537660821789,0.0478776328062216969,321.516497794245083
2018-09-22 00:00:03,1537574403876,0.0481794822842880749,325.791104590824489
2018-09-21 00:00:36,1537488036299,0.0465409693028018615,302.835571517629319
2018-09-20 00:00:59,1537401659151,0.0446640051322643866,285.951020138142326
2018-09-19 00:00:54,1537315254157,0.0446568057863467385,283.353238099122279
2018-09-18 00:00:01,1537228801744,0.0437515406385111799,273.949396677224968
2018-09-17 00:00:55,1537142455824,0.0445900436979597831,289.963703362588717
2018-09-16 00:00:45,1537056045874,0.0444880927582366748,290.170025968178038
2018-09-15 00:00:58,1536969658188,0.0441050272329429199,285.975673427584923
2018-09-14 00:00:50,1536883250685,0.0443187740025631077,287.722355889779976
2018-09-13 00:00:42,1536796842435,0.0433616569204043692,274.889055964057491
2018-09-12 00:00:44,1536710444358,0.0435789990779018033,274.265738066747303
2018-09-11 00:00:23,1536624023083,0.0442501192288537598,279.914749210729383
2018-09-10 00:00:07,1536537607023,0.0444787090532538509,277.962575634861423
2018-09-09 00:00:55,1536451255436,0.0445382065535317867,276.149351329732042
2018-09-08 00:00:44,1536364844814,0.0450056087382462791,288.83879598466649
2018-09-07 00:00:01,1536278401582,0.0456009049675933156,297.109048243956863
2018-09-06 00:00:14,1536192014970,0.0446802235473217624,299.423177695670404
2018-09-05 00:00:40,1536105640087,0.0466306294093641119,343.603854784722671
2018-09-04 00:00:37,1536019237964,0.0467925798028802561,340.112802148831236
2018-09-03 00:00:38,1535932838061,0.0469759697276975891,342.988936090719335
2018-09-02 00:00:33,1535846433843,0.0473645174334484734,341.189354041497381
2018-09-01 00:00:24,1535760024567,0.0466563722625203472,327.821668428146722
2018-08-31 00:00:34,1535673634835,0.0465398406463039954,325.758872392650062
2018-08-30 00:00:20,1535587220549,0.0468085358080913561,330.003454044550608
2018-08-29 00:00:25,1535500825776,0.0471657953079038447,334.4738791362347
2018-08-28 00:00:26,1535414426461,0.0467666116748474692,323.453786991214542
2018-08-27 00:00:45,1535328045310,0.0460993231958747168,309.53206162577294
2018-08-26 00:00:42,1535241642209,0.0461658665380350608,311.55542857724879
2018-08-25 00:00:16,1535155216345,0.0463618168567592401,311.025202656097861
2018-08-24 00:00:34,1535068834315,0.0464546252603904447,303.814642841711304
2018-08-23 00:00:50,1534982450338,0.0464205447761672496,295.586532505827051
2018-08-22 00:00:10,1534896010273,0.0469755925455780168,304.922799016676038
2018-08-21 00:00:34,1534809634268,0.0468131709241187272,293.355203727699234
2018-08-20 00:00:57,1534723257753,0.048003566229117757,312.006859276747491
2018-08-19 00:00:24,1534636824835,0.0477236085067924559,305.767545883444598
2018-08-18 00:00:50,1534550450756,0.0490658240330137593,323.289807971124333
2018-08-17 00:00:19,1534464019053,0.0467222777137509399,295.369829696344937
2018-08-16 00:00:56,1534377656444,0.0463873485211410141,290.639932159209025
2018-08-15 00:00:20,1534291220342,0.0463253884526199436,287.162744447869557
2018-08-14 00:00:12,1534204812467,0.046646521690538692,292.025884391448415
2018-08-13 00:00:57,1534118457703,0.0484608427267299649,306.306448622842083
2018-08-12 00:00:27,1534032027340,0.0485912369266560673,303.451302782228595
2018-08-11 00:00:33,1533945633355,0.0499180574177622502,307.196723710057256
2018-08-10 00:00:30,1533859230692,0.0503851381134878817,329.820106388129375
2018-08-09 00:00:29,1533772829336,0.0504655544424324615,317.222942636319488
2018-08-08 00:00:51,1533686451505,0.0512754160837111464,344.581051165755639
2018-08-07 00:00:16,1533600016412,0.0520722492975936799,361.606882964758711
2018-08-06 00:00:05,1533513605199,0.0523218560809615429,368.470916046002799
2018-08-05 00:00:15,1533427215678,0.0520820114783441673,365.405309251603569
2018-08-04 00:00:21,1533340821940,0.0515341412205015739,382.273560135321986
2018-08-03 00:00:26,1533254426909,0.0510711110004362367,384.974545432398372
2018-08-02 00:00:03,1533168003273,0.0515628209743129728,392.510115218133421
2018-08-01 00:00:54,1533081654727,0.0513756578063374533,397.830488762842492
2018-07-31 00:00:24,1532995224263,0.0513446588052776653,419.6054954941348
2018-07-30 00:00:09,1532908809515,0.051908565940466056,426.562793301055024
2018-07-29 00:00:57,1532822457451,0.0520132228295373811,428.154645704761379
2018-07-28 00:00:09,1532736009823,0.0521430155865542783,426.714975203346285
2018-07-27 00:00:42,1532649642303,0.0524800214910465107,416.362320904160413
2018-07-26 00:00:57,1532563257143,0.0524147652195754016,428.44195993837468
2018-07-25 00:00:01,1532476801092,0.0518942468582838795,435.746649904575236
2018-07-24 00:00:32,1532390432482,0.052479945458302743,404.998759890268502
2018-07-23 00:00:57,1532304057727,0.0539316312085028615,398.92526493723858
2018-07-22 00:00:55,1532217655166,0.054184556338286817,401.289198704662056
2018-07-21 00:00:31,1532131231325,0.0536865958445469985,393.732125264323201
2018-07-20 00:00:38,1532044838188,0.0550422461682676667,411.676370921400974
2018-07-19 00:00:43,1531958443151,0.0558855311585028033,412.662115206254214
2018-07-18 00:00:41,1531872041939,0.0567875181253864811,416.139500698013421
2018-07-17 00:00:08,1531785608615,0.057673506265338792,388.75115265682939
2018-07-16 00:00:52,1531699252076,0.0571306616210415577,363.620093326059418
2018-07-15 00:00:22,1531612822152,0.0565596586295404671,354.55666324417291
2018-07-14 00:00:14,1531526414274,0.0566781583995648805,353.047681889305636
2018-07-13 00:00:24,1531440024979,0.0561882068982813634,350.909961013560689
2018-07-12 00:00:22,1531353622637,0.056472727293293612,361.134620131518659
2018-07-11 00:00:25,1531267225997,0.0562917738055625158,355.009700682160599
2018-07-10 00:00:24,1531180824088,0.0570299078777805543,380.230372101817295
2018-07-09 00:00:27,1531094427267,0.0579130274172927687,388.431361841895182
2018-07-08 00:00:06,1531008006353,0.0579844307082981528,391.819933158104334
2018-07-07 00:00:29,1530921629846,0.0578637956209803461,382.118040332048963
2018-07-06 00:00:17,1530835217274,0.0583310429371728806,381.154867106086272
2018-07-05 00:00:26,1530748826538,0.0585398113942020015,385.770332310423896
2018-07-04 00:00:19,1530662419531,0.0583765448419819935,380.024301735921767
2018-07-03 00:00:05,1530576005551,0.0587155593752745411,388.442177536628776
2018-07-02 00:00:19,1530489619688,0.0579659000992776563,367.586697866562304
2018-07-01 00:00:07,1530403207727,0.0576236823024627795,367.970429262951711
2018-06-30 00:00:22,1530316822466,0.0572369564537890257,355.024242165481724
2018-06-29 00:00:02,1530230402779,0.057521551494937144,337.757922145546672
2018-06-28 00:00:12,1530144012155,0.058039953869956612,356.457019888648119
2018-06-27 00:00:26,1530057626921,0.0572739944435814094,348.512256189192897
2018-06-26 00:00:26,1529971226018,0.0586168147500055886,367.037391911225029
2018-06-25 00:00:24,1529884824057,0.058546989370519581,360.397116998213676
2018-06-24 00:00:36,1529798436928,0.0597848685531918375,368.988023769501297
2018-06-23 00:00:32,1529712032161,0.0599575650128717427,362.747465357424915
2018-06-22 00:00:53,1529625653409,0.0609324736172119422,409.507047464987807
2018-06-21 00:00:02,1529539202664,0.061256973674790216,414.174938398148868
2018-06-20 00:00:40,1529452840982,0.0617780349183369229,416.29375941861008
2018-06-19 00:00:53,1529366453524,0.0611451960306851963,410.648690734240574
2018-06-18 00:00:29,1529280029378,0.0612742288525060588,395.950390391162955
2018-06-17 00:00:18,1529193618482,0.0612713694393497155,398.451391746257571
2018-06-16 00:00:03,1529107203985,0.0614517200798020621,393.088217834469845
2018-06-15 00:00:49,1529020849469,0.0621871921886196014,413.397444408833337
2018-06-14 00:00:06,1528934406794,0.0612976931230616098,386.812349706836756
2018-06-13 00:00:05,1528848005080,0.0614031822319289627,402.550052235191515
2018-06-12 00:00:19,1528761619530,0.0625805786027195249,430.963031964986044
2018-06-11 00:00:10,1528675210751,0.0624203475360611756,422.822950139771194
2018-06-10 00:00:14,1528588814686,0.0637460640604159134,478.880194501703045
2018-06-09 00:00:11,1528502411393,0.0638961522258551934,487.360233564443433
2018-06-08 00:00:00,1528416000357,0.0640956522563464748,493.553828199977147
2018-06-07 00:00:48,1528329648057,0.0641985262284503061,491.815279657223584
2018-06-06 00:00:35,1528243235973,0.0645908413354542299,492.886897055130987
2018-06-05 00:00:15,1528156815981,0.0640584468007314722,480.733019860769446
2018-06-04 00:00:11,1528070411702,0.0650561120877078819,502.21562016684112
2018-06-03 00:00:03,1527984003824,0.0640069835169406465,489.253380257615106
2018-06-02 00:00:23,1527897623067,0.0630033744787921735,474.613240421168541
2018-06-01 00:00:21,1527811221853,0.0629737023717253513,472.305916473058744
2018-05-31 00:00:55,1527724855344,0.0623949028056901764,461.155735044631626
2018-05-30 00:00:37,1527638437114,0.0624384338707224401,466.776619546408085
2018-05-29 00:00:46,1527552046503,0.0606847744052698493,432.280708303011124
2018-05-28 00:00:47,1527465647190,0.0630887265800213065,464.584120760745293
2018-05-27 00:00:47,1527379247463,0.0637080714353476102,468.327589331955551
2018-05-26 00:00:11,1527292811171,0.0632467401380156641,472.792151358116769
2018-05-25 00:00:29,1527206429218,0.0640796958613494838,486.062435423177021
2018-05-24 00:00:08,1527120008194,0.062369609096630127,468.184331340854669
2018-05-23 00:00:12,1527033612532,0.0636820580074102249,508.999863703368646
2018-05-22 00:00:28,1526947228961,0.0647620909045072274,545.244995743227264
2018-05-21 00:00:18,1526860818677,0.0654882991925581359,558.881074607242681
2018-05-20 00:00:08,1526774408549,0.06508774586171584,536.835917337928777
2018-05-19 00:00:14,1526688014738,0.0652257713169322878,538.073477901901242
2018-05-18 00:00:27,1526601627762,0.0647672028297600344,522.619513073899611
2018-05-17 00:00:22,1526515222460,0.0658358176657384969,549.682992436550421
2018-05-13 00:00:30,1526169630192,0.0655767406555979593,556.65931110095471
2018-05-12 00:00:40,1526083240437,0.0651552740237163752,548.950775573796932
2018-05-11 00:00:39,1525996839451,0.0660958278787249498,596.719743671916717
2018-05-10 00:00:24,1525910424653,0.0671137841216065539,625.650131751964182
2018-05-09 00:00:18,1525824018713,0.0676500365022606603,622.054262644857204
2018-05-08 00:00:25,1525737625902,0.0672226141691229795,630.054034692230516
2018-05-07 00:00:55,1525651255779,0.0677647868245133678,653.82719038058076
2018-05-06 00:00:26,1525564826771,0.0680611611827285218,670.132915451592453
2018-05-05 00:00:43,1525478443442,0.0672814456631161129,652.537847351667779
2018-05-04 00:00:37,1525392037389,0.0671795978250537135,654.448190704173498
2018-05-03 00:00:09,1525305609297,0.0672750554758506647,621.104840170805574
2018-05-02 00:00:17,1525219217750,0.0665873748382264374,604.601377803625155
2018-05-01 00:00:58,1525132858784,0.0654602072255669742,605.26209566147088
2018-04-30 00:00:57,1525046457732,0.066832360556405887,629.248729317545099
2018-04-29 00:00:43,1524960043418,0.0658099357643605193,615.535465489289663
2018-04-28 00:00:09,1524873609528,0.0646180528831696022,577.602681667845786
2018-04-27 00:00:50,1524787250091,0.0644037561652859303,598.246491019340965
2018-04-26 00:00:33,1524700833493,0.0631204385804674806,559.601191483378329
2018-04-25 00:00:38,1524614438550,0.0645300481774172402,623.76357819495945
2018-04-24 00:00:32,1524528032363,0.0646309048558933175,579.645501745322008
2018-04-23 00:00:28,1524441628187,0.0632727769093097553,558.239259748843551
2018-04-22 00:00:08,1524355208887,0.0623075523489993663,556.778418564087815
2018-04-21 00:00:51,1524268851788,0.0637098667149286063,565.524454487066578
2018-04-20 00:00:06,1524182406033,0.0624325671764597023,518.322040281357886
2018-04-19 00:00:41,1524096041823,0.0609107569154574008,498.972393145458852
2018-04-18 00:00:24,1524009624815,0.0593233808623311182,469.904652447185128
2018-04-17 00:00:18,1523923218013,0.0589897281406859403,476.59748025888814
2018-04-16 00:00:23,1523836823496,0.0587754309893422783,492.425850617498668
2018-04-15 00:00:40,1523750440853,0.0579592870806595536,465.094878771623428
2018-04-14 00:00:47,1523664047825,0.058017881204306225,458.258876122709069
2018-04-13 00:00:31,1523577631452,0.057992743846275778,459.946830646636272
2018-04-12 00:00:33,1523491233957,0.0576809923822456383,402.548724116606422
2018-04-11 00:00:05,1523404805774,0.0562981408565111363,386.828466694947963
2018-04-10 00:00:47,1523318447502,0.0559076897583579494,379.687570686629101
2018-04-09 00:00:07,1523232007884,0.0553263670453455828,390.046461560322712
2018-04-08 00:00:55,1523145655392,0.0549949755319467035,380.118671479751811
2018-04-07 00:00:05,1523059205613,0.0551533532816139149,365.934777554048878
2018-04-06 00:00:54,1522972854621,0.0555413843275980798,377.523675896176542
2018-04-05 00:00:41,1522886441948,0.0552650190707057939,376.263039939849079
2018-04-04 00:00:57,1522800057048,0.0557955210693863099,414.556257903854714
2018-04-03 00:00:33,1522713633091,0.0548080691793693398,387.871224775478879
2018-04-02 00:00:27,1522627227840,0.0547579216970945706,374.321319666819704
2018-04-01 00:00:19,1522540819151,0.0553971747351554161,384.690168739360956
2018-03-31 00:00:07,1522454407842,0.0558249014678865521,382.637272637246724
2018-03-30 00:00:26,1522368026582,0.0548052464182215843,389.389631644071812
2018-03-29 00:00:28,1522281628790,0.0554913815497846477,441.792414553348465
2018-03-28 00:00:44,1522195244892,0.055904058225261094,436.266884781203828
2018-03-27 00:00:42,1522108842062,0.0564036655255341496,460.597973048064432
2018-03-26 00:00:19,1522022419165,0.0573620521753737955,486.198459756381226
2018-03-25 00:00:05,1521936005942,0.0570462862900234513,487.565481515024032
2018-03-24 00:00:52,1521849652458,0.0566710586650848447,507.137403071524659
2018-03-23 00:00:20,1521763220897,0.0572780812004407627,499.63899343469285
2018-03-22 00:00:42,1521676842534,0.0572027358834958088,509.9435134985236
2018-03-21 00:00:16,1521590416667,0.0573207562317408423,511.501195026377047
2018-03-20 00:00:34,1521504034856,0.0576881412921297354,496.799312060975751
2018-03-19 00:00:46,1521417646829,0.056858538044411211,469.150600526665357
2018-03-18 00:00:03,1521331203322,0.0579808757278186676,456.797690951561151
2018-03-17 00:00:53,1521244853371,0.0589637435423000372,487.785233740337503
2018-03-16 00:00:49,1521158449457,0.0592504584623853997,491.113422589266236
2018-03-15 00:00:00,1521072000519,0.0598481146638775441,491.646875633434263
2018-03-14 00:00:03,1520985603397,0.0602643246262302493,552.028445295224287
2018-03-13 00:00:47,1520899247887,0.0604463285980556889,551.345470261729474
2018-03-12 00:00:58,1520812858357,0.060322494252543768,576.376003558572961
2018-03-11 00:00:41,1520726441794,0.0609141646631086719,535.481193012222548
2018-03-10 00:00:26,1520640026491,0.0612942013262687962,567.20918376913221
2018-03-09 00:00:06,1520553606162,0.060137249419280038,560.285522644559933
2018-03-08 00:00:53,1520467253070,0.0603960452081032592,598.081501040475814
2018-03-07 00:00:57,1520380857148,0.0605058464849688796,649.454024649569874
2018-03-06 00:00:11,1520294411012,0.060147730709776713,687.858470556612929
2018-03-05 00:00:46,1520208046126,0.0608409360307796271,700.636918418134428
2018-03-04 00:00:49,1520121649328,0.060049814592783933,688.647670761170616
2018-03-03 00:00:44,1520035244344,0.061403626603120022,678.443144011478807
2018-03-02 00:00:26,1519948826562,0.062365498367182276,681.673606802812401
2018-03-01 00:00:04,1519862404796,0.0631269463541679204,652.369014091096346
2018-02-28 00:00:41,1519776041952,0.0637936612016774679,675.373922092979114
2018-02-27 00:00:23,1519689623386,0.0644248432024659839,665.522159498546102
2018-02-26 00:00:06,1519603206924,0.0658699666042554116,633.091399125817702
2018-02-25 00:00:33,1519516833332,0.065156878648101671,631.785854985880064
2018-02-24 00:00:34,1519430434870,0.0647618847202864195,658.822005640626571
2018-02-23 00:00:21,1519344021665,0.0638726294990949045,628.703401969951074
2018-02-22 00:00:25,1519257625966,0.0638000033905658931,668.461345524484727
2018-02-21 00:00:02,1519171202764,0.0634422926477902632,714.169888336175063
2018-02-20 00:00:25,1519084825766,0.0662660109071622483,740.970630121270574
2018-02-19 00:00:25,1518998425488,0.0675188657137574949,702.848435665872898
2018-02-18 00:00:57,1518912057623,0.0682205781875493966,756.782471332777277
2018-02-17 00:00:27,1518825627815,0.0700780912784900734,713.93176739422222
2018-02-16 00:00:03,1518739203107,0.0697575266525412019,700.2476773714709
2018-02-15 00:00:18,1518652818613,0.073249911081379307,694.732189159344671
2018-02-14 00:00:22,1518566422973,0.0728435953165428307,622.575998271662456
2018-02-13 00:00:51,1518480051245,0.0724431732481096297,645.789596898145987
2018-02-12 00:00:21,1518393621771,0.0735401637961732024,594.68400534103057
2018-02-11 00:00:27,1518307227778,0.0736113077129729315,631.028518690997657
2018-02-10 00:00:36,1518220836885,0.0733926638813964527,638.392876092828374
2018-02-09 00:00:07,1518134407653,0.0717724307527298627,592.889800994768052
2018-02-08 00:00:51,1518048051528,0.0706876668386291485,537.123063979997141
2018-02-07 00:00:17,1517961617042,0.0719864278000600794,554.561843843322777
2018-02-06 00:00:40,1517875240957,0.0707810204250414049,492.448332454161857
2018-02-05 00:00:47,1517788847202,0.0720564812612564526,593.230201751735194
2018-02-04 00:00:14,1517702414110,0.0738004014414451598,682.717919682621869
2018-02-03 00:00:30,1517616030826,0.0725638138231930185,643.984255451105696
2018-02-02 00:00:50,1517529650424,0.0748273953606729825,682.056946630209495
2018-02-01 00:00:11,1517443211836,0.0756246563372838521,773.577465865653835
2018-01-31 00:00:40,1517356840150,0.0746785829433382342,754.713707798647079
2018-01-30 00:00:55,1517270455186,0.0754410733507401288,848.04442169667243
2018-01-29 00:00:28,1517184028214,0.0757289831574346345,891.200635201806563
2018-01-28 00:00:43,1517097643524,0.0737437999380791825,845.210138362298267
2018-01-27 00:00:58,1517011258131,0.0735801010466986816,816.98782235989313
2018-01-26 00:00:17,1516924817748,0.0740870126013509073,827.80160398955627
2018-01-25 00:00:18,1516838418218,0.0736128037162682991,840.840042064963086
2018-01-24 00:00:18,1516752018294,0.0734232893326323133,797.108192913429548
2018-01-23 00:00:05,1516665605136,0.0739019800168298352,798.990517932155626
2018-01-22 00:00:28,1516579228398,0.0733434317030183525,847.434213229136049
2018-01-21 00:00:08,1516492808756,0.0741935054911194575,948.485322588141798
2018-01-20 00:00:06,1516406406676,0.0746632785944964239,860.252376778925054
2018-01-19 00:00:40,1516320040219,0.0751202135707705054,837.585122899141197
2018-01-18 00:00:38,1516233638844,0.0740768876750523414,828.134417305603279
2018-01-17 00:00:36,1516147236819,0.0722224941876562082,815.539293266781442
2018-01-16 00:00:46,1516060846972,0.0761166188313384395,1038.87158279001619
2018-01-15 00:00:02,1515974402264,0.0786747956790366104,1072.99203940531856
2018-01-14 00:00:11,1515888011788,0.0793071377219229101,1129.68893713717648
2018-01-13 00:00:27,1515801627189,0.0781731699264108237,1082.73514487065518
2018-01-12 00:00:22,1515715222077,0.0754959717211219905,1004.70492142299463
2018-01-11 00:00:30,1515628830191,0.0745004516879072265,1111.8402709632262
2018-01-10 00:00:43,1515542443613,0.075947106504530501,1100.81305681672211
2018-01-09 00:00:34,1515456034924,0.0749106994318050751,1121.49632137049139
2018-01-08 00:00:50,1515369650243,0.0745689653169951672,1209.01720796022255
2018-01-07 00:00:25,1515283225749,0.0699727489337264447,1201.8687291454296
2018-01-06 00:00:50,1515196850739,0.0686121496208864645,1162.79479999902651
2018-01-05 00:00:59,1515110459361,0.0742218994777349012,1127.40393318298106
2018-01-04 00:00:24,1515024024010,0.0744340432107675753,1127.21872961781469
2018-01-03 00:00:17,1514937617255,0.0692407149586088538,1022.13974310477909
2018-01-02 00:00:01,1514851201821,0.0689654038696234095,927.196406822648896
2018-01-01 00:00:42,1514764842178,0.0667207982162500574,924.049694895955213
2017-12-31 00:00:12,1514678412916,0.0671986830011867542,842.101640003031889
2017-12-30 00:00:57,1514592057653,0.0650200148118082327,933.79339532170934
2017-12-29 00:00:34,1514505634936,0.0605784967678146824,873.349889557133793
